03PJ,03,PJ,SECRETARIAL & STENOGRAPHIC SERVICES,SC00118,SC00118 Other Routine Contractual Services
03PK,03,PK,LECTURER OR VISITING PROFESSOR,SC00121,SC00121 Lecturer or Visiting Professor
03PL,03,PL,PERFORMING ARTISTS,SC00118,SC00118 Other Routine Contractual Services
03PM,03,PM,CADET TEACHER PROGRAM,SC00118,SC00118 Other Routine Contractual Services
03PN,03,PN,OFFICIATING FEES,SC00122,SC00122 Officiating Fees
03PP,03,PP,GAME DAY EXPENSES,SC00123,SC00123 Game Day Expenses
03PQ,03,PQ,SECURITY SERVICES,SC00118,SC00118 Other Routine Contractual Services
03PR,03,PR,NEWSPAPER AND PAMPHLET DELIVERY,SC00118,SC00118 Other Routine Contractual Services
03PS,03,PS,CUSTOM GROUNDS SERVICES,SC00118,SC00118 Other Routine Contractual Services
03PT,03,PT,INFORMANT FEES,SC00118,SC00118 Other Routine Contractual Services
03PU,03,PU,RESEACH SUBJECTS,SC00124,SC00124 Research Subjects
03PW,03,PW,TUTORING SERVICES,SC00118,SC00118 Other Routine Contractual Services
03PX,03,PX,PARTICIPANT SUPPORT COSTS,SC00125,SC00125 Participant Support Costs
03PZ,03,PZ,OTHER PURCHASED SERVICES,SC00118,SC00118 Other Routine Contractual Services
03RA,03,RA,VEHICLE INSURANCE,SC00108,SC00108 Vehicle Insurance
03RB,03,RB,LIABILITY INSURANCE,SC00109,SC00109 Liability Insurance
03RC,03,RC,FIRE & EXTENDED COVERAGE INSURANCE,SC00110,SC00110 Fire and Extended Coverage Insurance
03RD,03,RD,COMPREHENSIVE CRIME INSURANCE,SC00111,SC00111 Comprehensive Crime Insurance
03RF,03,RF,PERFORMANCE BONDS,SC00112,SC00112 Performance Bonds
03RH,03,RH,ACCIDENT INSURANCE,SC00113,SC00113 Accident Insurance
03RI,03,RI,RESEARCH INFRASTRUCTURE,SC00142,SC00142 Research Infrastructure
03RK,03,RK,LIABILITY CLAIMS,SC00114,SC00114 Liability Claims
03RL,03,RL,FIRE & PROPERTY DAMAGE CLAIMS,SC00115,SC00115 Fire and Property Damage Claims
03RN,03,RN,VEHICLE ACCIDENT CLAIMS,SC00116,SC00116 Vehicle Accident Claims
03RP,03,RP,PURCHASED MEDICAL HEALTH PLANS,SC00117,SC00117 Purchased Medical Health Plans
03SA,03,SA,LICENSE & REGISTRATION,SC00143,SC00143 License and Registration
03SB,03,SB,NOTARY LICENSE,SC00144,SC00144 Notary License
03SC,03,SC,TITLE REPORTS PROPERTY,SC00145,SC00145 Title Reports Property
03SD,03,SD,COMPUTER SOFTWARE - SMALL PURCHASES,SC00256,SC00256 Noncapitalized Computer Software - Acquisition
03SE,03,SE,TOURS & SPECIAL EVENTS,SC00146,SC00146 Tours and Special Events
03SF,03,SF,DAMAGE CLAIMS,SC00147,SC00147 Damage Claims
03SG,03,SG,STUDENT RECRUITMENT,SC00148,SC00148 Student Recruitment and Retention
03SH,03,SH,STUDENT RETENTION,SC00148,SC00148 Student Recruitment and Retention
03SI,03,SI,DONOR CULTIVATION (Gifts),SC00149,SC00149 Donor Cultivation (Gifts)
03SJ,03,SJ,PRIZES,SC00150,SC00150 Prizes
03SK,03,SK,IMMIGRATION FEES,SC00151,SC00151 Immigration Fees
03SM,03,SM,CANCELLATION - PROFESSIONAL,SC00152,SC00152 Cancellation - Professional
03SN,03,SN,CANCELLATION - DEATH,SC00153,SC00153 Cancellation - Death
03SP,03,SP,CANCELLATION - DISABILITY,SC00154,SC00154 Cancellation - Disability
03SQ,03,SQ,CANCELLATION - BANKRUPTCY,SC00155,SC00155 Cancellation - Bankruptcy
03SR,03,SR,CANCELLATION - WRITE-OFF,SC00156,SC00156 Cancellation - Write-Off
03SS,03,SS,INTEREST CANCELLED,SC00157,SC00157 Cancellation - Interest
03SW,03,SW,SALARY AND WAGES REIMBURSEMENT,SC00158,SC00158 Salary and Wages Reimbursement
03TA,03,TA,FREIGHT AND EXPRESS,SC00159,SC00159 Freight and Express
03TB,03,TB,RESERVE FOR DOUBTFUL ACCOUNTS,SC00160,SC00160 Reserve for Doubtful Accounts
03TC,03,TC,COMMISSIONS PAID,SC00161,SC00161 Commissions Paid
03TD,03,TD,CASH DISCOUNTS,SC00162,SC00162 Cash Discounts
03TE,03,TE,FOB SHIPPING POINT,SC00163,SC00163 Fob Shipping Point
03TF,03,TF,SHIPPING CHARGES IN FOREIGN COUNTRY,SC00164,SC00164 Shipping Charges In Foreign Country
03TG,03,TG,SURPLUS SALES RECOVERY OF EXPENSE,SC00165,SC00165 Surplus Sales Recovery of Expense
03TL,03,TL,ADMISSION TAXES,SC00166,SC00166 Admission Taxes
03TM,03,TM,GAME & EVENTS SETTLEMENTS,SC00167,SC00167 Game Guarantees
03TO,03,TO,BANK EQUIPMENT RENTAL,SC00168,SC00168 Bank Equipment Rental
03TP,03,TP,BANK CHARGE CARD SERVICE FEES,SC00169,SC00169 Bank Charge Card Service Fees
03TS,03,TS,MAJOR REPAIRS RESERVE EXPENSE,SC00343,SC00343 Major Repairs Reserve Expense
03TT,03,TT,GAIN OR LOSS ON FOREIGN EXCH RATES,SC00170,SC00170 Gain or Loss On Foreign Exch Rates
03TU,03,TU,FINES AND PENALTIES,SC00171,SC00171 Fines and Penalties
03VA,03,VA,COLLECTION FEES,SC00172,SC00172 Collection Fees
03VB,03,VB,ADVERTISING SERVICES-NONTAXABLE,SC00173,SC00173 Advertising Services
03VC,03,VC,CONTAINER DEPOSITS,SC00174,SC00174 Container Deposits
03VD,03,VD,PROMOTIONAL ITEMS-TAXED,SC00175,SC00175 Promotional Items - Taxed
03VE,03,VE,PATENT/COPYRIGHT REGISTRATION,SC00176,SC00176 Patent/Copyright Registration
03VF,03,VF,ADMINISTRATIVE SERVICE CHARGE,SC00177,SC00177 Administrative Charges and Fees
03VH,03,VH,ENTRY FEES,SC00178,SC00178 Entry Fees
03VJ,03,VJ,FOUNDATION ADMINISTRATIVE FEES,SC00179,SC00179 Foundation Administrative Fees
03VL,03,VL,DAMAGES TO STUDENT PROPERTY,SC00180,SC00180 Damages to Student Property
03VP,03,VP,AGENCY FUND DISBURSEMENTS,SC00181,SC00181 Agency Fund Disbursements
03VR,03,VR,ADVERTISING JOB POSTINGS-NONTAXABLE,SC00182,SC00182 Advertising Job Postings
03VS,03,VS,Administrative Support Fee,SC00183,SC00183 Administrative Support Fee
03VT,03,VT,SPONSORED STUDENT TRAINING SUPPORT,SC00184,SC00184 Other Goods and Services
03WB,03,WB,PETTY CASH,SC00185,SC00185 Petty Cash
03WC,03,WC,THEFT LOSS,SC00184,SC00184 Other Goods and Services
03WF,03,WF,ALLOWANCES-PER DIEM,SC00184,SC00184 Other Goods and Services
03WJ,03,WJ,OTHER DIRECT COSTS,SC00186,SC00186 Other Direct Costs
03WK,03,WK,DEPARTMENTAL SUPPORT,SC00184,SC00184 Other Goods and Services
03WL,03,WL,FOREIGN INDIVIDUAL CASH ADVANCES,SC00187,SC00187 Foreign Individual Cash Advances
03WM,03,WM,INTERIM PAYROLL CHECKS,SC00188,SC00188 Interim Payroll Checks
03WN,03,WN,FIELD SUPPORT-INTERNATIONAL PROJECTS,SC00189,SC00189 Support - International Projects
03WO,03,WO,OTHER SUPPORT-INTERNATIONAL PROJECTS,SC00189,SC00189 Support - International Projects
03WP,03,WP,PARTICIPANT TAX LIABILITY,SC00184,SC00184 Other Goods and Services
03WQ,03,WQ,PCARD/CTA CLEARING,SC00190,SC00190 PCARD/CTA Clearing
03WR,03,WR,SUPPORT TO GLOBAL OPERATIONS,SC00191,SC00191 Support to Global Operations
03WS,03,WS,SUPPORT TO/FROM WSU,SC00192,SC00192 Support To/From WSU
03WT,03,WT,PARTICIPANT WITHHOLDING TAX,SC00184,SC00184 Other Goods and Services
03WV,03,WV,GRANT OVERDRAFT REIMBURSEMENT,SC00193,SC00193 Grant Overdraft Reimbursement
03WW,03,WW,CONTRACTUAL REIMBURSEMENTS,SC00194,SC00194 Contractual Reimbursements
03WZ,03,WZ,SETTLEMENT OF LAWSUIT-Restricted Use,SC00195,SC00195 Settlement of Lawsuit - Restricted Use
03ZA,03,ZA,UNRELATED BUSINESS INCOME TAX (UBIT),SC00184,SC00184 Other Goods and Services
03ZB,03,ZB,Miscellaneous Taxes,SC00196,SC00196 Miscellaneous Taxes
03ZX,03,ZX,Remit UseTax to Dept of Revenue WA (Restricte,SC00197,SC00197 Remit Use Tax to Dept of Revenue WA (Restricted)
03ZZ,03,ZZ,USE TAX PAYABLE.,SC00199,SC00199 Washington Sales and Use Tax
04AA,04,AA,IN-STATE--SUBSISTENCE AND LODGING,SC00237,SC00237 In-State Subsistence and Lodging
04AE,04,AE,IN-STATE--POOL CAR RENTAL,SC00247,SC00247 In-State and Out-of-State Motor Pool Services
04AF,04,AF,IN-STATE--PRIVATE AUTO MILEAGE,SC00239,SC00239 In-State and Out-of-State Private Automobile Mileage
04AG,04,AG,IN-STATE--RENTAL CARS,SC00241,SC00241 In-State and Out-of-State Other Travel Expenses
04AH,04,AH,IN-STATE--AIR TRANSPORTATION,SC00238,SC00238 In-State Air Transportation
04AJ,04,AJ,IN-STATE--RAIL TRANSPORTATION,SC00241,SC00241 In-State and Out-of-State Other Travel Expenses
04AK,04,AK,IN-STATE--BUS TRANSPORTATION,SC00241,SC00241 In-State and Out-of-State Other Travel Expenses
04AL,04,AL,IN-STATE ATHLETICS LODGING,SC00237,SC00237 In-State Subsistence and Lodging
04AP,04,AP,Travel Related to COVID-19,SC00349,SC00349 Travel Related to COVID-19
04AR,04,AR,"GAS, OIL, PARTS, LICENSES",SC00241,SC00241 In-State and Out-of-State Other Travel Expenses
04AS,04,AS,IN-STATE ATHLETICS MEALS/FOOD,SC00237,SC00237 In-State Subsistence and Lodging
04AT,04,AT,IN-STATE AIRFARE TRANSACTION FEE,SC00238,SC00238 In-State Air Transportation
04AW,04,AW,IN-STATE--OTHER,SC00241,SC00241 In-State and Out-of-State Other Travel Expenses
04BA,04,BA,OUT-OF-STATE--SUBSISTENCE & LODGING,SC00243,SC00243 Out-of-State Subsistence and Lodging
04BE,04,BE,OUT-OF-STATE POOL CAR,SC00247,SC00247 In-State and Out-of-State Motor Pool Services
04BF,04,BF,OUT-OF-STATE--PRIVATE AUTO MILEAGE,SC00239,SC00239 In-State and Out-of-State Private Automobile Mileage
04BG,04,BG,OUT-OF-STATE--RENTAL CARS,SC00241,SC00241 In-State and Out-of-State Other Travel Expenses
04BH,04,BH,OUT-OF-STATE--AIR TRANSPORTATION,SC00245,SC00245 Out-of-State Air Transportation
04BJ,04,BJ,OUT-OF-STATE--RAIL TRANSPORTATION,SC00241,SC00241 In-State and Out-of-State Other Travel Expenses
04BK,04,BK,OUT-OF-STATE--BUS TRANSPORTATION,SC00241,SC00241 In-State and Out-of-State Other Travel Expenses
04BL,04,BL,OUT-OF-STATE ATHLETICS LODGING,SC00243,SC00243 Out-of-State Subsistence and Lodging
04BS,04,BS,OUT-OF-STATE ATHLETICS MEALS/FOOD,SC00243,SC00243 Out-of-State Subsistence and Lodging
04BT,04,BT,OUT-OF-STATE AIRFARE TRANSACTION FEE,SC00245,SC00245 Out-of-State Air Transportation
04BW,04,BW,OUT-OF-STATE--OTHER,SC00241,SC00241 In-State and Out-of-State Other Travel Expenses
04CA,04,CA,APPLIC/CANDIDATE SUBS & LODGING IN-STATE,SC00237,SC00237 In-State Subsistence and Lodging
04CB,04,CB,APPLIC/CANDIDATE SUBS & LODGING OUT-OF-STATE,SC00243,SC00243 Out-of-State Subsistence and Lodging
04CE,04,CE,APPLICANT/CANDIDATE POOL CAR RENTAL,SC00241,SC00241 In-State and Out-of-State Other Travel Expenses
04CF,04,CF,APPLICANT/CANDIDATE PRIVATE AUTO MILEAGE,SC00239,SC00239 In-State and Out-of-State Private Automobile Mileage
